nr_masina,id_pubela,colectat_la,adresa,Latitude,Longitude
,,,"Strada Șelimbărului 90, Cisnădie, Romania",45.7315361,24.1779393
SB 77 ULB,4CBA09E0,2024-10-15T06:14:38.000Z,"Calea Șurii Mari 39 B, Sibiu, Romania",45.82245899999999,24.147542
SB 77 ULB,59E8828F,2024-10-15T06:19:38.000Z,"Calea Șurii Mari 39 B, Sibiu, Romania",45.82245899999999,24.147542
SB 77 ULB,40BF931E,2024-10-15T06:32:00.000Z,"Calea Șurii Mari 39, Sibiu, Romania",45.8229647,24.1477139
SB 77 ULB,3D72CC4E,2024-10-15T06:38:19.000Z,"Strada Căprioarelor 1, Sibiu, Romania",45.8142903,24.1497742
SB 77 ULB,7742852B,2024-10-15T06:46:41.000Z,"Strada Lungă 71, Sibiu, Romania",45.8101442,24.1471054
SB 77 ULB,9BC32F25,2024-10-15T06:50:03.000Z,"Strada Țiglarilor 10, Sibiu, Romania",45.8071791,24.1441383
SB 77 ULB,F4966D4A,2024-10-15T06:51:53.000Z,"Strada Țiglarilor 12, Sibiu, Romania",45.8073798,24.1438199
SB 77 ULB,1C605E62,2024-10-15T06:52:15.000Z,"Strada Țiglarilor 12, Sibiu, Romania",45.8073798,24.1438199
SB 77 ULB,8F648BB4,2024-10-15T06:52:47.000Z,"Strada Țiglarilor 12, Sibiu, Romania",45.8073798,24.1438199
SB 77 ULB,44D96BAC,2024-10-15T06:54:43.000Z,"Strada Țiglarilor 20, Sibiu, Romania",45.8075681,24.143282
SB 77 ULB,14F5E8DA,2024-10-15T06:55:18.000Z,"Strada Țiglarilor 24, Sibiu, Romania",45.80782809999999,24.1431594
SB 77 ULB,8F952499,2024-10-15T06:55:51.000Z,"Strada Țiglarilor 28, Sibiu, Romania",45.8078849,24.14283
SB 77 ULB,FC71C83F,2024-10-15T06:56:30.000Z,"Strada Eschile 3, Sibiu, Romania",45.80809439999999,24.1427323
SB 77 ULB,ADSB43S2,2024-10-15T06:58:07.000Z,"Strada Eschile 6, Sibiu, Romania",45.808025,24.1431941
SB 77 ULB,9751342D,2024-10-15T06:58:39.000Z,"Strada Eschile 6, Sibiu, Romania",45.808025,24.1431941
SB 77 ULB,5B69FD19,2024-10-15T07:01:56.000Z,"Strada Eschile 12, Sibiu, Romania",45.8085429,24.1435243
SB 77 ULB,F2C05755,2024-10-15T07:02:21.000Z,"Strada Eschile 15, Sibiu, Romania",45.8087995,24.1432301
SB 77 ULB,3F30A90E,2024-10-15T07:02:36.000Z,"Strada Eschile 17, Sibiu, Romania",45.8088975,24.1433863
SB 77 ULB,567064C9,2024-10-15T07:03:39.000Z,"Strada Eschile 22, Sibiu, Romania",45.809119,24.143808
SB 77 ULB,27241585,2024-10-15T07:04:30.000Z,"Strada Eschile 25, Sibiu, Romania",45.8094143,24.1438062
SB 77 ULB,52AFD1E8,2024-10-15T07:04:35.000Z,"Strada Pandurilor 15, Sibiu, Romania",45.8095078,24.1428543
SB 77 ULB,17512306,2024-10-15T07:05:04.000Z,"Strada Eschile 31, Sibiu, Romania",45.8097913,24.1438261
SB 77 ULB,9FC27BF5,2024-10-15T07:05:19.000Z,"Strada Eschile 33, Sibiu, Romania",45.8098148,24.1439803
